isbn_13,genre
9780439023480,young-adult
9780439023480,fiction
9780439023480,fantasy
9780439023480,science-fiction
9780439023480,romance
9780439554930,fantasy
9780439554930,fiction
9780439554930,young-adult
9780439554930,classics
9780316015840,young-adult
9780316015840,fantasy
9780316015840,romance
9780316015840,fiction
9780316015840,paranormal
9780061120080,classics
9780061120080,fiction
9780061120080,historical-fiction
9780061120080,young-adult
9780743273560,classics
9780743273560,fiction
9780743273560,historical-fiction
9780743273560,romance
9780525478810,young-adult
9780525478810,romance
9780525478810,fiction
9780525478810,contemporary
9780618260300,fantasy
9780618260300,classics
9780618260300,fiction
9780618260300,young-adult
9780316769170,classics
9780316769170,fiction
9780316769170,young-adult
9781416524790,fiction
9781416524790,mystery
9781416524790,thriller
9781416524790,suspense
9781416524790,crime
9781416524790,historical-fiction
9780679783270,classics
9780679783270,fiction
9780679783270,romance
9780679783270,historical-fiction
9781594480000,fiction
9781594480000,historical-fiction
9781594480000,contemporary
9781594480000,classics
9780062024040,young-adult
9780062024040,fiction
9780062024040,fantasy
9780062024040,science-fiction
9780062024040,romance
9780553296980,nonfiction
9780553296980,classics
9780553296980,history
9780553296980,biography
9780553296980,memoir
9780307269750,fiction
9780307269750,mystery
9780307269750,suspense
9780307269750,contemporary
9780307269750,thriller
9780307269750,crime
9780439023500,young-adult
9780439023500,fiction
9780439023500,fantasy
9780439023500,science-fiction
9780439023500,romance
9780439655480,fantasy
9780439655480,young-adult
9780439655480,fiction
9780439655480,classics
9780439023510,young-adult
9780439023510,fiction
9780439023510,fantasy
9780439023510,science-fiction
9780439023510,romance
9780439358070,fantasy
9780439358070,young-adult
9780439358070,fiction
9780439358070,classics
9780316166680,fiction
9780316166680,mystery
9780316166680,young-adult
9780316166680,contemporary
9780316166680,fantasy
9780316166680,crime
9780439064870,fantasy
9780439064870,young-adult
9780439064870,fiction
9780439064870,classics
9780439139600,fantasy
9780439139600,young-adult
9780439139600,fiction
9780439139600,classics
9780545010220,fantasy
9780545010220,young-adult
9780545010220,fiction
9780545010220,classics
